Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Saquon Barkley,1392,223,10,12,6,72,53,23.8,1
Derrick Henry,1325,221,13,14,3,87,60,27.2,3
Josh Jacobs,944,202,7,6,0,38,47,23.3,2
Jahmyr Gibbs,886,154,10,7,2,70,41,26.6,0
Chuba Hubbard,876,177,7,6,0,38,45,25.4,0
Kyren Williams,822,207,9,2,0,30,56,27,5
Tony Pollard,800,184,4,5,1,41,37,20.1,0
Aaron Jones,798,179,3,3,1,41,33,18.4,2
Joe Mixon,786,185,10,6,2,59,37,20,0
Bijan Robinson,783,167,6,3,0,37,38,22.8,0
Alvin Kamara,782,183,6,3,0,24,45,24.6,0
J.K. Dobbins,766,158,8,6,3,61,39,24.7,0
Najee Harris,749,191,3,6,0,36,36,18.8,0
Jordan Mason,711,140,3,8,0,38,32,22.9,3
Jonathan Taylor,708,161,5,7,1,58,34,21.1,0
James Conner,705,166,5,3,0,22,46,27.7,1
D'Andre Swift,665,168,5,5,1,56,26,15.5,1
Breece Hall,632,152,4,3,1,42,27,17.8,3
David Montgomery,632,145,11,1,0,21,43,29.7,2
Chase Brown,607,140,5,5,0,30,25,17.9,2
Lamar Jackson,599,103,3,4,0,33,31,30.1,3
Rhamondre Stevenson,598,162,6,1,0,33,30,18.5,4
James Cook,596,137,10,2,1,49,33,24.1,0
Tyrone Tracy Jr.,587,116,3,5,1,45,28,24.1,2
Bucky Irving,579,108,5,4,1,56,28,25.9,2
