Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,39,727,4,13,4,67,33,84.6,0,242,56
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19,166,1,1,0,20,11,57.9,0,96,25
34,34.0,1,1,100.0,0,0,118.8,1,100.0,1,0,34,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,798,179,3,3,1,41,33,18.4,2,32,285,1,4,0,25,12,37.5,1,276,37
2442,6.4,380,241,63.4,17,7,89.0,121,31.8,34,2,57,26,199,50,13,0,0,0,14,3,23.1,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,17,6,0,0,0,5,1,16.7,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,11,166,1,3,0,36,7,63.6,0,60,16
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,158,1,2,0,37,7,77.8,0,90,15
24,24.0,1,1,100.0,0,0,118.8,1,100.0,1,0,24,0,0,16,3,0,0,0,10,1,33.3,0,20,254,0,3,0,33,13,65.0,1,74,43
455,5.6,82,52,63.4,2,2,76.0,25,30.5,2,0,30,3,28,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,0,0,0,2,0,0.0,0,3,6,0,0,0,5,0,0.0,0,7,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,13,9,1,0,0,6,5,55.6,2,7,60,0,1,0,25,2,28.6,0,36,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,27,629,4,10,5,65,23,85.2,0,95,48
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,31,0,0,0,18,2,66.7,0,10,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,320,97,3,1,0,24,20,20.6,0,25,245,1,3,0,31,10,40.0,0,254,29
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,412,5,7,1,52,23,76.7,0,121,44
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,9,0,0,0,7,2,100.0,0,2,5
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,782,183,6,3,0,24,45,24.6,0,55,443,1,5,1,57,14,25.4,1,466,73
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,31,374,3,5,0,30,17,54.8,0,82,63
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,110,25,1,1,1,40,5,20.0,1,22,113,2,0,0,13,7,31.8,0,146,26
7,7.0,1,1,100.0,1,0,135.4,1,100.0,0,0,7,0,0,-4,1,0,0,0,-4,0,0.0,0,71,747,9,8,0,35,47,66.2,0,246,85
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,274,4,4,0,39,16,80.0,0,29,38
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,66,1,1,0,22,4,57.1,0,37,10
989,6.2,160,106,66.2,7,6,82.0,50,31.2,13,0,39,7,37,34,11,0,0,0,18,2,18.2,1,0,0,0,0,0,0,0,0.0,0,0,0
1402,7.3,191,90,47.1,5,7,65.4,54,28.3,22,6,69,11,96,335,61,3,3,0,26,22,36.1,6,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,311,72,0,2,1,45,14,19.4,1,15,147,0,1,1,50,7,46.7,0,154,18
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,45,5,0,0,0,12,2,40.0,0,2,67,1,1,1,54,2,100.0,0,43,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,179,38,0,1,0,21,9,23.7,2,3,9,0,0,0,11,1,33.3,0,15,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,355,74,4,4,1,50,18,24.3,1,33,346,0,8,0,34,13,39.4,1,403,39
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,27,295,2,3,0,38,15,55.6,1,163,38
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,40,0,1,0,22,2,100.0,0,9,3
2799,7.5,374,267,71.4,24,9,104.1,143,38.2,32,2,55,24,143,221,40,3,0,0,18,16,40.0,6,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,40,0,1,0,28,1,33.3,0,15,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,18,1,0,0,12,2,66.7,0,14,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,4,0,0,0,4,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,783,167,6,3,0,37,38,22.8,0,45,359,1,3,0,29,17,37.8,0,435,50
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,106,29,0,0,0,12,8,27.6,0,4,31,0,0,0,9,2,50.0,0,36,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,42,1,1,0,29,2,50.0,0,4,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,39,6,0,0,0,16,3,50.0,0,5,73,0,1,0,28,4,80.0,0,6,12
2548,6.4,399,259,64.9,16,6,89.9,115,28.8,39,2,49,19,158,300,64,4,5,0,32,27,42.2,0,1,2,1,0,0,2,1,100.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,229,62,2,1,0,20,17,27.4,0,10,81,1,0,0,15,4,40.0,0,89,16
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,2,0,0,0,5,0,0.0,0,9,91,1,1,0,21,6,66.7,0,16,19
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,25,374,0,5,1,53,20,80.0,0,92,47
199,6.9,29,17,58.6,1,1,76.6,8,27.6,5,0,31,2,2,4,3,0,0,0,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,9,0,0,0,9,0,0.0,0,4,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,51,0,0,0,13,4,80.0,0,8,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,632,152,4,3,1,42,27,17.8,3,46,401,2,5,1,57,12,26.1,1,376,61
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,21,221,2,5,0,30,11,52.4,0,100,29
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,7,0,0,0,4,1,50.0,0,3,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,8,86,0,0,0,18,6,75.0,0,52,13
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,537,122,7,2,1,40,32,26.2,0,11,99,0,1,0,32,3,27.3,0,115,15
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,19,4,0,0,0,13,1,25.0,0,42,689,5,9,3,85,30,71.4,0,268,63
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,34,0,0,0,11,2,28.6,0,28,7
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,9,2,0,0,0,12,1,50.0,0,74,744,3,8,1,57,38,51.4,0,395,99
2613,8.5,306,202,66.0,13,8,95.9,121,39.5,36,9,76,20,95,267,51,4,0,0,16,26,51.0,2,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,12,87,2,0,0,16,6,50.0,0,65,14
4,2.0,2,1,50.0,0,0,56.2,0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,56,0,1,0,33,2,66.7,0,12,3
1083,5.8,188,113,60.1,5,6,71.7,51,27.1,15,1,46,13,79,91,18,1,1,0,24,4,22.2,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,-2,0,0,0,-2,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,118,1,1,0,36,7,77.8,0,20,15
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,579,108,5,4,1,56,28,25.9,2,32,252,0,2,0,32,9,28.1,0,328,34
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,10,2,1,0,0,8,1,50.0,0,2,11,0,0,0,8,0,0.0,1,6,3
2875,7.3,396,250,63.1,14,9,87.3,144,36.4,33,5,67,39,303,192,38,0,2,0,25,11,29.0,2,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-4,1,0,0,0,-4,0,0.0,0,50,486,4,5,0,30,26,52.0,2,237,73
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,128,1,1,0,27,5,38.5,0,91,19
2356,6.3,372,233,62.6,11,5,84.9,111,29.8,26,5,47,44,298,339,55,0,2,0,24,22,40.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,354,3,7,2,55,12,60.0,0,119,36
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,32,4,1,0,0,10,2,50.0,1,41,634,3,10,4,63,26,63.4,0,139,80
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,275,72,1,0,0,15,13,18.1,1,10,49,2,0,0,9,2,20.0,0,50,13
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,1,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,158,48,0,0,0,9,14,29.2,3,5,24,0,0,0,9,0,0.0,0,35,9
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,14,0,0,0,14,1,100.0,0,11,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-5,1,0,0,0,-5,0,0.0,0,29,339,3,6,0,38,15,51.7,1,104,49
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,11,122,1,1,0,25,5,45.4,0,54,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,69,13,0,0,0,18,4,30.8,0,77,841,4,10,2,65,38,49.4,1,353,118
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,5,0,0,0,5,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,0,0,0,2,1,100.0,0,9,131,1,2,1,55,4,44.4,0,76,11
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,17,0,0,0,13,1,50.0,0,10,4
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,607,140,5,5,0,30,25,17.9,2,35,207,2,1,0,34,12,34.3,0,183,44
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,24,262,2,3,1,70,9,37.5,2,150,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,64,17,0,0,0,11,3,17.6,0,7,57,0,0,0,15,2,28.6,0,69,8
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,4,0,0,0,4,0,0.0,0,0,7
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,0,0,0,2,1,100.0,0,50,576,5,7,2,55,32,64.0,1,350,62
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,1,0,0,2,1,100.0,0,0,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,7,1,0,0,0,7,1,100.0,0,32,400,1,4,0,39,22,68.8,1,121,44
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,56,13,0,0,0,17,3,23.1,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,27,379,1,7,1,61,18,66.7,0,113,47
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,149,43,0,0,0,13,8,18.6,0,13,132,0,2,0,30,5,38.5,1,75,16
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,0,0,0,4,0,0.0,0,20,383,2,6,3,60,15,75.0,0,95,34
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,876,177,7,6,0,38,45,25.4,0,31,126,1,1,0,20,7,22.6,3,178,40
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,-5,5,0,0,0,2,1,20.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,44,0,1,0,28,2,100.0,0,13,3
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,25,243,1,2,0,23,13,52.0,0,117,39
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,39,422,3,7,0,31,21,53.8,0,161,47
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,29,1,0,0,16,1,25.0,0,7,6
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,10,2,0,0,0,9,1,50.0,0,55,548,5,7,1,69,21,38.2,1,236,77
813,5.5,149,91,61.1,4,2,79.1,43,28.9,7,2,64,7,50,10,11,0,0,0,4,3,27.3,4,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,104,21,0,0,0,14,5,23.8,0,6,34,0,0,0,14,2,33.3,0,28,8
30,15.0,2,2,100.0,1,0,158.3,2,100.0,1,0,28,0,0,0,0,0,0,0,0,0,0.0,0,57,744,5,13,0,37,38,66.7,1,132,95
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,51,12,0,0,0,19,3,25.0,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,6,3,0,0,0,7,0,0.0,0,21,185,1,2,0,38,7,33.3,0,86,33
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,665,168,5,5,1,56,26,15.5,1,31,278,0,3,1,42,8,25.8,1,274,36
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,117,30,0,0,0,13,6,20.0,0,8,77,0,2,0,26,3,37.5,0,82,13
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,155,46,0,1,0,25,6,13.0,1,5,46,0,0,0,16,1,20.0,0,42,5
0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0,36,7,0,0,0,14,2,28.6,0,54,566,4,7,1,44,25,46.3,0,312,80
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,33,5,1,0,0,18,1,20.0,0,15,133,1,1,0,30,8,53.3,0,52,28
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,46,697,3,13,2,71,24,52.2,2,203,75
1978,6.9,286,185,64.7,11,8,86.0,87,30.4,23,3,65,21,112,54,13,1,1,0,22,5,38.5,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35,406,1,6,2,61,13,37.1,2,209,42
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,34,356,2,4,0,28,18,52.9,1,211,59
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,36,363,0,3,0,32,17,47.2,0,134,57
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,20,8,0,0,0,4,0,0.0,0,1,10,0,0,0,10,1,100.0,0,7,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,100,15,1,1,1,54,2,13.3,0,1,1,0,0,0,1,0,0.0,0,3,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,31,0,0,0,17,2,66.7,0,9,3
2070,6.1,341,216,63.3,8,7,79.4,106,31.1,19,2,43,29,172,265,67,2,1,0,24,26,38.8,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,17,0,0,0,9,1,50.0,0,15,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,68,25,0,0,0,11,3,12.0,0,16,166,1,2,0,31,7,43.8,0,149,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,11,1,0,0,0,11,1,100.0,0,32,469,1,6,2,43,25,78.1,0,84,52
0,0.0,1,0,0.0,0,0,39.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,48,711,5,16,1,41,34,70.8,0,201,81
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,17,182,1,3,0,29,8,47.1,0,113,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,44,487,2,7,0,37,22,50.0,0,187,73
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,27,0,0,0,12,1,33.3,0,8,3
3,3.0,1,1,100.0,1,0,118.8,1,100.0,0,0,3,0,0,632,145,11,1,0,21,43,29.7,2,24,241,0,2,1,40,9,37.5,0,243,26
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19,202,1,1,0,21,11,57.9,0,30,32
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,40,345,2,3,0,29,15,37.5,0,182,57
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,39,0,0,0,13,2,33.3,0,21,12
79,6.1,13,7,53.8,0,0,72.3,4,30.8,1,0,25,1,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,182,1,5,0,34,8,57.1,0,53,22
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,562,132,3,2,1,47,24,18.2,0,49,373,5,2,0,39,19,38.8,0,437,55
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,72,0,0,0,14,3,33.3,0,32,14
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,37,408,4,4,0,35,26,70.3,1,60,48
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,41,516,4,7,3,46,25,61.0,0,186,56
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,36,0,1,0,30,2,100.0,0,18,2
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,12,4,0,0,0,6,1,25.0,0,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,4,79,27,1,0,0,12,2,7.4,0,34,511,1,8,3,76,21,61.8,0,282,56
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,26,384,6,6,1,42,22,84.6,0,26,50
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,10,2,0,0,0,9,0,0.0,0,48,477,1,7,0,35,23,47.9,0,296,66
1742,8.3,211,145,68.7,13,4,106.4,72,34.1,21,7,71,7,39,47,13,1,0,0,13,3,23.1,1,0,0,0,0,0,0,0,0.0,0,0,0
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,43,7,0,0,0,10,2,28.6,0,5,43,0,0,0,17,2,40.0,0,68,7
0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1325,221,13,14,3,87,60,27.2,3,10,96,2,2,0,27,5,50.0,0,119,12
